# Scaling table — all 6 variants
# success_threshold = 0.875

"### LP, no_gating"
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1e3,0.2860,0.2260,0.1290,0.0460,0.0160,0.0080,0.0040
1e4,0.6480,0.6560,0.5990,0.4610,0.3210,0.1630,0.1190
1e5,0.7340,0.7390,0.7340,0.6670,0.5980,0.4340,0.3910
1e6,0.7550,0.8010,0.7770,0.7450,0.7060,0.6510,0.5850
1e7,0.8400,0.7700,0.8100,0.8700,0.8300,0.7300,0.7400

"### LP, gated"
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1e3,0.2710,0.2240,0.1880,0.1310,0.0890,0.0450,0.0490
1e4,0.6740,0.6800,0.6500,0.5690,0.4990,0.4340,0.3860
1e5,0.7660,0.7410,0.7130,0.6710,0.5970,0.5280,0.4580
1e6,0.7950,0.7890,0.7250,0.7180,0.6130,0.5660,0.4880
1e7,0.8300,0.8100,0.7400,0.6100,0.6200,0.4600,0.5400

"### BP, no_gating"
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1e3,0.2790,0.2520,0.1660,0.0740,0.0170,0.0060,0.0090
1e4,0.6870,0.6480,0.6480,0.5890,0.4470,0.2470,0.1720
1e5,0.7760,0.7780,0.7680,0.7850,0.7250,0.5800,0.4760
1e6,0.8040,0.7910,0.8340,0.8520,0.8550,0.7750,0.7180
1e7,0.7700,0.7700,0.8500,0.8900,0.8800,0.8600,0.8800

"### BP, gated"
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1e3,0.3030,0.2640,0.2210,0.1840,0.1160,0.0530,0.0490
1e4,0.7120,0.6990,0.6910,0.6370,0.5610,0.4680,0.4020
1e5,0.7430,0.7790,0.7560,0.7470,0.7230,0.6550,0.6550
1e6,0.7900,0.7680,0.7840,0.8210,0.7950,0.7340,0.7360
1e7,0.7900,0.7300,0.9200,0.8800,0.7900,0.8100,0.8200

"### SO, no_gating"
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010
1e3,0.2760,0.1750,0.0300,0.0030,0.0060,1.0000,1.0000
1e4,0.6930,0.6550,0.3960,0.1380,0.0760,1.0000,1.0000
1e5,0.7370,0.7170,0.6570,0.3460,0.2550,1.0000,1.0000
1e6,0.7650,0.7790,0.7600,0.6060,0.5260,1.0000,1.0000
1e7,0.7800,0.7800,0.7900,0.6500,0.7000,1.0000,1.0000

"### SO, gated"
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1e3,0.2850,0.1300,0.0830,0.0440,0.0750,0.9990,1.0000
1e4,0.6640,0.6360,0.5570,0.4710,0.6850,1.0000,1.0000
1e5,0.7510,0.7340,0.7070,0.6390,0.9340,1.0000,1.0000
1e6,0.7740,0.7650,0.7150,0.6910,0.9770,1.0000,1.0000
1e7,0.8200,0.7600,0.7400,0.7400,0.9900,1.0000,1.0000

